neighborhood,pay type,# rides
Fresh Pond,UNK,5
Fresh Pond Junction,CRD,3122
Fresh Pond Junction,CSH,5059
Fresh Pond Junction,DIS,12
Fresh Pond Junction,NOC,30
Fresh Pond Junction,UNK,6
Fulton Houses,CRD,1518731
Fulton Houses,CSH,1052439
Fulton Houses,DIS,1515
Fulton Houses,NOC,5093
Fulton Houses,UNK,2788
Gerritsen,CRD,1370
Gerritsen,CSH,1594
Gerritsen,DIS,9
Gerritsen,NOC,17
Gerritsen,UNK,2
Glen Oaks,CRD,11834
Glen Oaks,CSH,9509
Glen Oaks,DIS,89
Glen Oaks,NOC,284
Glen Oaks,UNK,81
Glendale,CRD,1639
Glendale,CSH,3326
Glendale,DIS,12
Glendale,NOC,24
Glendale,UNK,5
Gowanus,CRD,25063
Gowanus,CSH,15569
Gowanus,DIS,40
Gowanus,NOC,111
Gowanus,UNK,48
Gowanus Houses,CRD,36937
Gowanus Houses,CSH,22387
Gowanus Houses,DIS,57
Gowanus Houses,NOC,159
Gowanus Houses,UNK,72
Grant City,CRD,296
Grant City,CSH,201
Grant City,DIS,2
Grant City,NOC,2
Grant City,UNK,1
Grasmere,CRD,453
Grasmere,CSH,454
Grasmere,DIS,3
Grasmere,NOC,1
Gravesend,CRD,6713
Gravesend,CSH,7788
Gravesend,DIS,35
Gravesend,NOC,81
Gravesend,UNK,12
Greenpoint,CRD,215414
Greenpoint,CSH,149385
Greenpoint,DIS,464
Greenpoint,NOC,1131
Greenpoint,UNK,463
Greenwich Village,CRD,998170
Greenwich Village,CSH,646419
Greenwich Village,DIS,1033
Greenwich Village,NOC,3346
Greenwich Village,UNK,1912
Grymes Hill,CRD,470
Grymes Hill,CSH,271
Grymes Hill,DIS,2
Grymes Hill,NOC,4
Gun Hill Houses,CRD,1176
Gun Hill Houses,CSH,2345
Gun Hill Houses,DIS,19
Gun Hill Houses,NOC,31
Gun Hill Houses,UNK,4
Haberman,CRD,28057
Haberman,CSH,41783
Haberman,DIS,122
Haberman,NOC,346
Haberman,UNK,62
Hamilton Beach,CRD,13020
Hamilton Beach,CSH,7201
Hamilton Beach,DIS,55
Hamilton Beach,NOC,193
Hamilton Beach,UNK,17
Hamilton Heights,CRD,158599
Hamilton Heights,CSH,165014
Hamilton Heights,DIS,398
Hamilton Heights,NOC,1072
Hamilton Heights,UNK,341
Harlem,CRD,255019
Harlem,CSH,263458
Harlem,DIS,492
Harlem,NOC,1473
Harlem,UNK,552
Heartland Village,CRD,1207
Heartland Village,CSH,1059
Heartland Village,DIS,6
Heartland Village,NOC,14
Hell's Kitchen,CRD,1149393
Hell's Kitchen,CSH,1158885
Hell's Kitchen,DIS,1644
Hell's Kitchen,NOC,5654
Hell's Kitchen,UNK,2100
High Bridge,CRD,13379
High Bridge,CSH,22630
High Bridge,DIS,78
High Bridge,NOC,180
High Bridge,UNK,27
Hillside,CRD,5671
Hillside,CSH,9982
Hillside,DIS,44
Hillside,NOC,107
Hillside,UNK,7
Holland,CRD,1279
Holland,CSH,1712
Holland,DIS,7
Holland,NOC,25
Holland,UNK,1
Hollis,CRD,1631
Hollis,CSH,2389
Hollis,DIS,4
Hollis,NOC,14
Hollis,UNK,5
Howard Beach,CRD,1727
Howard Beach,CSH,3039
Howard Beach,DIS,10
Howard Beach,NOC,26
Howard Beach,UNK,1
Hunts Point,CRD,2604
Hunts Point,CSH,5367
Hunts Point,DIS,14
Hunts Point,NOC,62
Hunts Point,UNK,1
Inwood,CRD,44694
Inwood,CSH,37243
Inwood,DIS,128
Inwood,NOC,261
Inwood,UNK,83
Jackson Heights,CRD,43414
Jackson Heights,CSH,83933
Jackson Heights,DIS,264
Jackson Heights,NOC,717
Jackson Heights,UNK,105
Jamaica,CRD,6049
Jamaica,CSH,10652
Jamaica,DIS,69
Jamaica,NOC,260
Jamaica,UNK,15
Kensington,CRD,27856
Kensington,CSH,19858
Kensington,DIS,69
Kensington,NOC,214
Kensington,UNK,56
Kew Gardens,CRD,15603
Kew Gardens,CSH,17189
Kew Gardens,DIS,80
Kew Gardens,NOC,171
Kew Gardens,UNK,28
Kings Bridge,CRD,6995
Kings Bridge,CSH,7222
Kings Bridge,DIS,30
Kings Bridge,NOC,69
Kings Bridge,UNK,19
Kingsbridge Heights,CRD,1958
Kingsbridge Heights,CSH,3530
Kingsbridge Heights,DIS,13
Kingsbridge Heights,NOC,38
Kingsbridge Heights,UNK,2
Kips Bay,CRD,526799
Kips Bay,CSH,368238
Kips Bay,DIS,512
Kips Bay,NOC,1588
Kips Bay,UNK,1004
Koreatown,CRD,1769001
Koreatown,CSH,1910652
Koreatown,DIS,2228
Koreatown,NOC,7067
Koreatown,UNK,3166
Lambert Houses,CRD,1262
Lambert Houses,CSH,2594
Lambert Houses,DIS,14
Lambert Houses,NOC,34
Lambert Houses,UNK,8
Laurelton,CRD,1325
Laurelton,CSH,3378
Laurelton,DIS,17
Laurelton,NOC,35
Laurelton,UNK,1
Lefrak City,CRD,15775
Lefrak City,CSH,23723
Lefrak City,DIS,92
Lefrak City,NOC,226
Lefrak City,UNK,43
Lincoln Harbor,CRD,24463
Lincoln Harbor,CSH,9170
Lincoln Harbor,DIS,127
Lincoln Harbor,NOC,471
Lincoln Harbor,UNK,10
Lincoln Towers,CRD,1186241
Lincoln Towers,CSH,1069145
Lincoln Towers,DIS,1210
Lincoln Towers,NOC,3647
Lincoln Towers,UNK,3258
Linden Hill,CRD,16882
Linden Hill,CSH,14533
Linden Hill,DIS,45
Linden Hill,NOC,95
Linden Hill,UNK,57
Linden-Park,CRD,218
Linden-Park,CSH,152
Linden-Park,NOC,2
Little Italy,CRD,337063
Little Italy,CSH,244305
Little Italy,DIS,481
Little Italy,NOC,1423
Little Italy,UNK,636
Little Neck,CRD,1292
Little Neck,CSH,1671
Little Neck,DIS,10
Little Neck,NOC,25
Locust Manor,CRD,941
Locust Manor,CSH,2182
Locust Manor,DIS,7
Locust Manor,NOC,10
Locust Manor,UNK,4
Locust Point,CRD,407
Locust Point,CSH,466
Locust Point,DIS,1
Locust Point,NOC,7
Locust Point,UNK,1
Loisaida,CRD,316077
Loisaida,CSH,219009
Loisaida,DIS,336
Loisaida,NOC,966
Loisaida,UNK,563
Long Island City,CRD,133195
Long Island City,CSH,121322
Long Island City,DIS,646
Long Island City,NOC,3578
Long Island City,UNK,321
Lower East Side,CRD,432557
Lower East Side,CSH,306418
Lower East Side,DIS,577
Lower East Side,NOC,1801
Lower East Side,UNK,741
Malba,CRD,1344
Malba,CSH,1908
Malba,DIS,5
Malba,NOC,19
Manhattanville,CRD,98358
Manhattanville,CSH,99979
Manhattanville,DIS,229
Manhattanville,NOC,647
Manhattanville,UNK,202
Marcus Garvey Village,CRD,2052
Marcus Garvey Village,CSH,4540
Marcus Garvey Village,DIS,27
Marcus Garvey Village,NOC,58
Marcus Garvey Village,UNK,24
Marcy Houses,CRD,66719
Marcy Houses,CSH,65034
Marcy Houses,DIS,176
Marcy Houses,NOC,412
Marcy Houses,UNK,154
Maspeth,CRD,6888
Maspeth,CSH,16200
Maspeth,DIS,64
Maspeth,NOC,141
Maspeth,UNK,8
Melrose,CRD,4968
Melrose,CSH,10998
Melrose,DIS,34
Melrose,NOC,101
Melrose,UNK,12
Middle Village,CRD,6788
Middle Village,CSH,10704
Middle Village,DIS,40
Middle Village,NOC,82
Middle Village,UNK,18
Middletown,CRD,1295
Middletown,CSH,1441
Middletown,DIS,7
Middletown,NOC,10
Middletown,UNK,1
Midtown West,CRD,502726
Midtown West,CSH,409875
Midtown West,DIS,515
Midtown West,NOC,1776
Midtown West,UNK,1335
Midwood,CRD,9271
Midwood,CSH,10044
Midwood,DIS,70
Midwood,NOC,333
Midwood,UNK,14
Morningside Heights,CRD,428631
Morningside Heights,CSH,359929
Morningside Heights,DIS,533
Morningside Heights,NOC,1710
Morningside Heights,UNK,945
Morris Heights,CRD,3517
Morris Heights,CSH,7621
Morris Heights,DIS,35
Morris Heights,NOC,91
Morris Heights,UNK,7
Morris Park,CRD,2676
Morris Park,CSH,2337
Morris Park,DIS,5
Morris Park,NOC,18
Morris Park,UNK,4
Morrisania,CRD,2771
Morrisania,CSH,7408
Morrisania,DIS,34
Morrisania,NOC,76
Morrisania,UNK,2
Mott Haven,CRD,14630
Mott Haven,CSH,29739
Mott Haven,DIS,163
Mott Haven,NOC,685
Mott Haven,UNK,29
Murray Hill,CRD,1594958
Murray Hill,CSH,1370185
Murray Hill,DIS,1699
Murray Hill,NOC,5504
Murray Hill,UNK,3025
New Dorp,CRD,308
New Dorp,CSH,199
New Dorp,NOC,2
